iter	Passed	Remaining
0	0	20
1	0	20
2	0	19
3	0	17
4	0	16
5	1	17
6	1	16
7	1	17
8	1	17
9	1	17
10	2	16
11	2	16
12	2	16
13	2	16
14	2	16
15	3	15
16	3	15
17	3	15
18	3	15
19	3	14
20	3	14
21	4	14
22	4	14
23	4	14
24	4	14
25	5	14
26	5	14
27	5	13
28	5	13
29	5	13
30	6	13
31	6	13
32	6	12
33	6	12
34	6	12
35	6	12
36	7	12
37	7	11
38	7	11
39	7	11
40	8	11
41	8	11
42	8	11
43	8	10
44	8	10
45	8	10
46	9	10
47	9	10
48	9	9
49	9	9
50	9	9
51	10	9
52	10	9
53	10	9
54	10	8
55	10	8
56	11	8
57	11	8
58	11	7
59	11	7
60	11	7
61	12	7
62	12	7
63	12	7
64	12	6
65	12	6
66	13	6
67	13	6
68	13	6
69	13	5
70	14	5
71	14	5
72	14	5
73	14	5
74	14	4
75	15	4
76	15	4
77	15	4
78	15	4
79	16	4
80	16	3
81	16	3
82	16	3
83	17	3
84	17	3
85	17	2
86	17	2
87	17	2
88	18	2
89	18	2
90	18	1
91	18	1
92	19	1
93	19	1
94	19	1
95	19	0
96	19	0
97	20	0
98	20	0
99	20	0
